Title,Summary,Case type,Market sector,Outcome type,Closed date,Archive URL
Guestlogix Inc /Panasonic Avionics ,,Mergers,Recreation and Leisure,Mergers - phase 1 found not to qualify  ,12/21/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/Guestlogix
Sports Direct / JJB Sports plc ,,Mergers,retail and wholesale,Mergers - phase 1 clearance,12/21/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/sports-direct
United Drug plc / Pharmexx UK Ltd ,,Mergers,Pharmaceuticals,Mergers - phase 1 clearance,12/21/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/united-drug
NHS Foundation Trusts ,,Mergers,Healthcare and medical equipment,Mergers - phase 1 referral,1/8/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/nhs-foundation-trusts
Flogas UK / BP's LPG distribution business,,Mergers,Distribution and service industries,Mergers - phase 1 clearance,1/23/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/flogas
Rexel UK / Wilts Wholesale Electrical Company ,,Mergers,Electronics Industry,Mergers - phase 1 clearance with undertakings in lieu,1/23/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/rexel
Compagnie Générale de Géophysique Veritas SA / Fugro NV’s Geoscience Division ,,Mergers,Retail and wholesale,Mergers - phase 1 clearance,1/24/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/compagnie-generale
Mizkan Group / Premier Foods plc ,,Mergers,Retail and wholesale,Mergers - phase 1 found not to qualify  ,1/25/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/mizkan
Vue / Apollo Cinemas Ltd ,,Mergers,Recreation and Leisure,Mergers - phase 1 clearance with undertakings in lieu,1/25/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/Vue
Wolseley /WT Burden Group,,Mergers,Utilities,Mergers - phase 1 clearance,1/30/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/wolseley
